0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,P
100,90.705,98.6709,96.3753,105.1943,93.3322,103.1027,109.8803,115.1474,127.3967,133.2477,126.1755,122.4221,106.2217,108.6219,107.2408,113.5456,110.2655,111.0932,118.6172,130.5245,128.8844,127.9242,133.3283,140.4625,146.481,144.2371,144.9822,156.2372,152.0911,161.0829,179.7175,196.9527,187.7083,198.2403,185.1477,181.102,194.9399,213.4947,201.7779,205.6849,198.9472,203.821,195.6567,175.8597,192.2106,184.9352,170.4236,178.6959,175.9931,167.5733,167.8293,150.9896,167.1625,145.8262,156.1222,146.8931,158.2779,153.8815,156.1586,156.9485,56.9485
100,112.5372,124.2143,128.4979,122.1353,116.4441,120.7663,121.2607,120.811,115.6266,109.7632,105.0187,99.3659,92.8499,87.7538,85.4756,80.5591,82.7003,81.3136,88.2428,96.6674,95.0014,102.3109,105.339,97.4362,97.1301,97.3741,82.5044,79.2538,78.3316,73.1073,68.4616,62.5868,58.7627,59.7049,64.8183,63.1611,62.7915,60.1489,55.3587,52.815,51.083,48.0608,46.9509,49.0258,46.0734,48.6752,49.3601,48.8743,43.9518,44.157,46.7719,49.1635,48.5292,51.8099,49.9049,50.8719,48.6468,42.6252,42.1657,40.642,0
100,90.5402,89.634,83.0343,80.5863,76.8875,76.8372,83.7752,78.8254,78.9785,80.728,83.5052,83.8137,85.1342,87.4285,96.4581,91.5318,93.0307,85.4425,81.0559,72.3849,63.1401,61.5895,58.7642,51.7485,49.5399,56.044,57.751,60.762,59.1423,58.2425,53.7868,55.9395,53.9143,51.7872,57.6625,58.0018,63.1191,58.5032,60.1749,56.9802,54.2266,57.0647,55.2412,50.9578,51.1765,52.4806,48.9681,52.6124,54.0277,53.1861,48.1067,50.501,50.2329,52.9634,51.6608,53.6132,52.3131,50.8598,49.5276,47.7224,0
100,89.4607,78.7079,78.1884,77.2554,80.0503,84.2387,89.9592,101.4473,94.3627,96.6783,110.5838,100.2128,95.6015,98.2951,95.4124,88.855,98.0763,91.3266,90.9163,87.584,84.4745,80.0474,77.6441,71.1218,74.4691,69.4653,71.6394,75.7652,75.2542,72.5547,82.0245,93.1059,89.9586,96.1156,90.2187,89.0853,83.6116,89.1728,102.1102,95.3606,100.6364,97.0615,103.3918,98.1679,93.2199,87.9197,73.4055,78.7265,84.2145,82.4033,90.9175,89.4197,96.3453,92.9217,94.1684,98.3271,92.2395,94.1823,83.1587,94.331,0
100,103.9582,100.91,91.2391,92.4566,101.7355,101.6515,108.0399,108.6705,106.2497,100.1827,106.2522,104.5063,114.4255,110.191,114.1873,101.7536,103.1571,99.8851,107.8743,105.713,113.756,105.6838,112.4064,122.1962,123.9305,114.5767,122.6525,126.1409,126.0478,123.9824,117.0849,135.4366,141.5323,151.1303,144.2201,135.0152,135.768,143.3194,144.3735,134.7912,129.1385,128.0605,118.2996,118.4301,121.9936,110.3824,111.5404,105.8598,109.8559,104.8386,110.9194,117.5677,121.731,124.328,136.8946,139.5382,134.1855,149.5464,152.6981,164.2878,64.2878
100,95.6108,91.2067,89.4307,91.515,89.5471,94.1409,102.3791,99.7886,99.9272,85.7081,77.8888,80.3453,72.6421,72.7013,81.4362,74.2356,66.0114,69.9785,80.0299,78.6058,75.9233,84.3974,79.7596,74.7863,77.818,75.9811,72.9437,69.3303,67.1397,69.661,73.5258,68.8169,63.88,60.518,61.9215,56.6126,59.2201,61.3091,60.8725,59.3181,56.4932,54.0076,52.8842,55.8626,50.7893,53.5573,46.216,45.2961,51.1527,54.5299,58.2485,54.7182,60.1354,67.4859,66.3341,66.4685,68.6195,68.3781,77.6905,83.3379,0
100,93.9571,95.6183,101.517,96.346,99.9107,98.5923,96.038,89.9004,98.1629,95.1597,93.7456,98.1305,92.021,85.5615,84.2727,81.1497,85.0542,80.3559,78.1925,86.1662,87.9819,93.7321,91.2269,94.9701,87.0234,86.2196,94.9079,99.1718,96.4354,100.4597,93.7141,85.5639,77.7742,77.5105,76.8519,68.1296,65.4989,65.5727,65.72,69.4745,75.6979,75.8502,84.2046,87.042,91.542,89.4774,88.7191,95.1493,88.8298,96.4071,92.4878,88.7037,76.7292,88.0163,81.1732,85.1035,93.4821,87.1251,87.4779,85.9004,0
100,105.1184,109.0001,103.071,91.2744,83.4691,92.9654,92.3133,88.7448,91.9474,90.6484,88.5594,95.7312,109.7829,113.7053,110.7409,106.4838,109.098,109.3602,113.3704,109.3184,108.0096,103.6916,88.7245,84.4307,88.3177,87.1508,84.0565,84.7859,81.8659,81.6342,74.5624,69.7838,73.7999,73.5548,70.9051,73.5774,72.1734,69.392,62.5337,62.2072,62.9197,68.0018,72.3366,73.0034,80.6203,81.3018,86.1072,91.0679,94.5394,94.0988,90.4264,86.7102,87.553,86.4597,83.9199,84.5804,83.2516,88.7197,86.8047,85.407,0
100,108.1317,101.6089,96.5163,94.05,103.6376,106.3818,101.2016,119.1919,119.7723,112.4287,121.8117,130.4689,143.596,140.9868,143.0828,140.5044,141.0404,124.9371,128.5159,126.8128,112.8652,115.1909,116.5162,115.6613,122.3228,129.034,135.1341,129.5222,126.5752,116.0622,107.2219,107.9338,109.4254,107.0519,117.007,117.9454,103.2127,106.489,115.8765,118.648,119.2682,107.4468,95.7662,94.0706,87.6474,89.8137,90.6457,81.7953,80.703,78.454,76.8642,84.0864,79.9154,76.5054,70.635,75.0069,72.4611,77.6958,71.1979,73.6005,0
100,88.6115,84.9075,81.8437,78.1473,82.2854,86.5187,72.3387,76.4216,76.588,79.2236,87.3628,93.3439,100.9298,93.0834,98.2784,96.062,113.7632,118.3682,114.6175,97.5437,105.8141,116.6231,115.0762,117.5869,107.0212,102.9951,94.6299,91.3952,87.9758,83.1742,80.9634,88.7772,95.0508,99.1793,88.8029,88.764,92.1289,96.3236,101.6255,99.7096,106.9054,96.3775,104.0932,100.7493,108.432,99.7702,94.3244,93.0354,93.1756,97.3676,95.3819,103.1193,106.85,94.6809,92.7896,92.8288,98.9477,102.6443,101.3854,97.6427,0
